rep,N,assumption,option,experiment,dgp_name,mu_rmse,mu_nmse,mu_mse,mu_variance,moment_rmse,moment_nmse,moment_mse,moment_variance,tau_rmse,tau_nmse,tau_mse,tau_variance
3,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.006715100134642803,0.00022395649539589283,4.509256981827979e-05,0.20134521992125595,0.00255439615379757,0.0011156274050579983,6.524939710535821e-06,0.005848672846286532,0.015961075619609043,4.838711153382468e-05,0.0002547559349348782,5.2649543826726015
4,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.007743490521779716,0.00029740895694697125,5.99616454608923e-05,0.20161344862113084,0.0024807703431172935,0.001051344844904735,6.154221495290294e-06,0.005853665926186135,0.027965595621815942,0.00014857376532064737,0.0007820745384829309,5.263880448846951
5,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00859843918307989,0.00036610507822499943,7.393315638512355e-05,0.20194518126756492,0.0034029815456914077,0.001978307652031859,1.1580283400316282e-05,0.005853631202620346,0.03578554778077923,0.0002432239060152033,0.0012806054299704332,5.265129776718518
6,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.004901986687288431,0.0001193977739892979,2.4029473482353002e-05,0.20125562378161974,0.001876410407705563,0.000601594173138829,3.5209160181457565e-06,0.005852643152734194,0.028857779412197918,0.00015823213691019467,0.0008327714326030741,5.262972799739898
7,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0038948323316634957,7.54212415873032e-05,1.5169718891771302e-05,0.20113324273787941,0.0019140767168309828,0.0006269042819151691,3.6636896779144745e-06,0.005844097390309793,0.028640531261588033,0.00015576709086951082,0.0008202800309460015,5.266067603670959
8,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.008194774604571348,0.00033336525607107474,6.71543308197275e-05,0.20144370055591498,0.004190065760199846,0.002999246922012337,1.7556651074799115e-05,0.005853686452404368,0.09009205212928084,0.0015421256754991925,0.008116577856865058,5.26324020526906
9,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.004774718357682392,0.00011306455847350155,2.2797935395189242e-05,0.20163644295778413,0.002468089973061501,0.0010417572551373634,6.091468115126721e-06,0.005847300880398971,0.05492398370050884,0.0005727866322111599,0.0030166439855337608,5.26661031506347
10,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.004577522946287655,0.00010410448894222616,2.0953716323790012e-05,0.20127581948381196,0.0018119957147769985,0.0005613978006124616,3.2833284703702056e-06,0.005848488303281971,0.021125565364435033,8.476900209578215e-05,0.0004462895119670171,5.264772510389421
11,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0071511356435951965,0.00025425188476568925,5.113874099309769e-05,0.20113416677412474,0.0031143285204928445,0.001656927060451328,9.69904213355515e-06,0.005853632525570101,0.03306169673015756,0.00020772572330087516,0.001093075790676911,5.262110889818266
12,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.008247751976814809,0.0003373683276309931,6.802541267105258e-05,0.20163544440798087,0.0017215156183508086,0.0005067146592859231,2.963616024225767e-06,0.0058486881520305335,0.01751532681008096,5.825768250360572e-05,0.00030678667326394083,5.266029475939984
13,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.004060205433305431,8.193996143256102e-05,1.6485268160642945e-05,0.20118716036022058,0.0015924658948740192,0.0004340257662843674,2.535947626336911e-06,0.005842850409658386,0.023565529145700124,0.00010544076273485548,0.000555334163916842,5.266788190002969
14,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0044813659860062065,9.97516231607142e-05,2.0082641100533377e-05,0.2013264593015931,0.002254894785518348,0.000869965027856366,5.084550493757838e-06,0.005844545850637704,0.04556526735416957,0.00039421885586692204,0.0020761935890569513,5.266601427502037
