rep,setting,assumption,method,lag,source_t,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment
18,power,static,RV,,4,0.619439343999041,0.3582640691067316,-0.041735930893268415,-0.4,0.44613113147467015,0.4,0.5042674190035553,0.023093963471002548,0.498,0.08103178992261453
18,power,static,RV,,5,0.535870985606625,0.3719935150619096,-0.028006484938090402,-0.4,0.3408875882104851,0.4,0.384789905811396,0.023093963471002548,0.536,0.07188264549045104
19,power,static,RV,,1,0.4860243819394315,0.39277350523063226,-0.007226494769367756,-0.4,0.2611952127511727,0.4,0.28564624002363603,0.023093963471002548,0.44,0.02602789812507196
19,power,static,RV,,2,0.4680926507177882,0.4053939553244382,0.005393955324438233,-0.4,0.15336830691127087,0.4,0.23412301092347748,0.023093963471002548,0.228,-0.019901511190727778
19,power,static,RV,,3,0.6054886272040854,0.35794051683270584,-0.04205948316729417,-0.4,0.4804289398294288,0.4,0.48736221359378057,0.023093963471002548,0.538,0.08471574477901674
19,power,static,RV,,4,0.49091695931768314,0.3956682175506714,-0.0043317824493286404,-0.4,0.23760896929272368,0.4,0.28961221621418237,0.023093963471002548,0.374,0.014768838058617407
19,power,static,RV,,5,0.5806976818361282,0.381363995470616,-0.018636004529384055,-0.4,0.4342687465115607,0.4,0.437772545349015,0.023093963471002548,0.522,0.04361950551889559
20,power,static,RV,,1,0.5412585932894486,0.41036755535502983,0.010367555355029803,-0.4,0.31935782626483716,0.4,0.35163854224797153,0.023093963471002548,0.416,-0.03075675619309333
20,power,static,RV,,2,0.663787877069715,0.40091231104080555,0.0009123110408055632,-0.4,0.5009401109816409,0.4,0.5280654269594478,0.023093963471002548,0.492,-0.002899842532890788
20,power,static,RV,,3,0.5712018432159566,0.41120711722108083,0.011207117221080764,-0.4,0.39148698144160415,0.4,0.39685203297516,0.023093963471002548,0.476,-0.025526978641294377
20,power,static,RV,,4,0.47840546003271683,0.4172482442867794,0.017248244286779388,-0.4,0.17365702596319432,0.4,0.2323141447258466,0.023093963471002548,0.278,-0.07537819809134794
20,power,static,RV,,5,0.5770580361417098,0.41232929991406325,0.01232929991406325,-0.4,0.3624633797689679,0.4,0.40354400179629973,0.023093963471002548,0.468,-0.029249396035157103
21,power,static,RV,,1,0.5058032782855366,0.39542329039994556,-0.004576709600054433,-0.4,0.29551278654539,0.4,0.3150983734944206,0.023093963471002548,0.506,0.01585706089440123
21,power,static,RV,,2,0.6196128050011785,0.3877694951685486,-0.012230504831451447,-0.4,0.3563471940639907,0.4,0.48339108481274784,0.023093963471002548,0.28,0.02691702067375942
21,power,static,RV,,3,0.4595578386642144,0.3832289492609441,-0.01677105073905596,-0.4,0.19805729682522963,0.4,0.25389102452152007,0.023093963471002548,0.404,0.06906438553427524
21,power,static,RV,,4,0.6392255138204325,0.38140538070850494,-0.0185946192914951,-0.4,0.48358784601981375,0.4,0.5117562368520698,0.023093963471002548,0.518,0.03451693649654588
21,power,static,RV,,5,0.5733830980668653,0.3763450101741796,-0.0236549898258204,-0.4,0.4290127923030811,0.4,0.4324601826503456,0.023093963471002548,0.528,0.055743656174567474
22,power,static,RV,,1,0.5890270021856574,0.3728816961514656,-0.02711830384853449,-0.4,0.45449911007458854,0.4,0.45524055961530013,0.023093963471002548,0.526,0.05899617227336727
22,power,static,RV,,2,0.6851254200606043,0.3899202518795587,-0.010079748120441342,-0.4,0.5286648077565672,0.4,0.5624428263246906,0.023093963471002548,0.516,0.016815503324089365
22,power,static,RV,,3,0.532526958056568,0.36398923889041696,-0.03601076110958308,-0.4,0.37899550891968636,0.4,0.38758696253923125,0.023093963471002548,0.542,0.09126850563965193
22,power,static,RV,,4,0.5555292568371489,0.3710357313577122,-0.028964268642287877,-0.4,0.3857014881213719,0.4,0.41259521801822147,0.023093963471002548,0.504,0.06937711947210173
