rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
12,RC,0.5688202522977411,1,-0.15570870522341956,0.34930139720558884,0,lagged,power,500,0.1
12,Oracle,,1,0.11244870146846538,0.003992015968063872,1,lagged,power,500,0.1
12,DM,,1,-0.18952591886363734,0.6646706586826348,0,lagged,power,500,0.1
12,cDM,,1,-0.06532282101429447,0.7105788423153693,0,lagged,power,500,0.1
12,SS,0.8509783604686865,1,0.5442100980715252,0.20159680638722555,0,lagged,power,500,0.1
12,RC,0.6402673345013984,2,1.3389281956160068,0.15568862275449102,0,lagged,power,500,0.1
12,Oracle,,2,2.3729038641716236,0.02594810379241517,1,lagged,power,500,0.1
12,DM,,2,0.14655258700607757,0.37924151696606784,0,lagged,power,500,0.1
12,cDM,,2,0.06032128320754986,0.3712574850299401,0,lagged,power,500,0.1
12,SS,0.5980582857400483,2,-1.4632956560347192,0.9041916167664671,0,lagged,power,500,0.1
12,RC,0.6831307300469407,3,1.754041248268755,0.3992015968063872,0,lagged,power,500,0.1
12,Oracle,,3,4.223960382729381,0.00998003992015968,1,lagged,power,500,0.1
12,DM,,3,-0.4798352488183128,0.8662674650698603,0,lagged,power,500,0.1
12,cDM,,3,0.04363731800995233,0.35129740518962077,0,lagged,power,500,0.1
12,SS,0.8221534509872802,3,0.508652502622106,0.3912175648702595,0,lagged,power,500,0.1
