rep,setting,assumption,method,lag,source_t,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment,n_time_comparisons,treated_count_min,control_count_min,eligible_count_min,treated_count_mean,control_count_mean,eligible_count_mean
32,power,lagged,RC,1,,1.267609262600903,0.880666912119071,-0.11933308788092893,-1.0,0.7643047116651035,1.0,0.8067702900542756,0.5196141780975573,0.576,0.17859484617892293,4,50,50,150,87.5,200.0,287.5
32,power,lagged,RC,2,,1.9194180388614364,1.1479337074765381,-0.25206629252346185,-1.4,1.3186082427524004,1.4,1.4097948879291218,0.8082887214850891,0.576,0.21169427522858733,3,50,50,150,83.33333333333333,150.0,233.33333333333334
32,power,lagged,RC,3,,2.203999031454879,1.572277764019588,-0.22772223598041205,-1.8,1.133391362398906,1.8026311999999998,1.2501704823593955,1.096963264872621,0.578,0.2240891906596061,2,50,50,150,75.0,100.0,175.0
32,power,lagged,RC,4,,2.7770037223103654,1.8942156935423107,-0.3057843064576895,-2.2,1.5440137504553177,2.2083328,1.67373685802201,1.3856378082601528,0.566,0.2196264471593692,1,50,50,100,50.0,50.0,100.0
33,power,lagged,RC,0,,0.6257763898249384,0.570103917028481,-0.029896082971518974,-0.6,0.14149952862966972,0.6,0.16563995146642532,0.2309396347100255,0.558,0.23133895743255914,5,50,50,150,90.0,250.0,340.0
33,power,lagged,RC,1,,1.4133531370691141,0.8355589829493194,-0.16444101705068054,-1.0,0.9742458092828685,1.0,1.0982288187019509,0.5196141780975573,0.566,0.2019993768206302,4,50,50,150,87.5,200.0,287.5
33,power,lagged,RC,2,,1.743362749945653,1.1825650503453011,-0.21743494965469856,-1.4,1.0814591669281626,1.4,1.1650581789475967,0.8082887214850891,0.566,0.2553996959350036,3,50,50,150,83.33333333333333,150.0,233.33333333333334
33,power,lagged,RC,3,,2.2162720923851214,1.5431905368177257,-0.2568094631822745,-1.8,1.2695260268375976,1.8026311999999998,1.380033847057391,1.096963264872621,0.568,0.25379196712764146,2,50,50,150,75.0,100.0,175.0
33,power,lagged,RC,4,,2.762377892644654,1.898537078860919,-0.30146292113908135,-2.2,1.7059257873356455,2.2083328,1.7467985277177367,1.3856378082601528,0.576,0.2464242002790874,1,50,50,100,50.0,50.0,100.0
34,power,lagged,RC,0,,0.6938832232754615,0.5719375874015022,-0.0280624125984977,-0.6,0.290827469480747,0.6,0.32039268190013426,0.2309396347100255,0.528,0.08535517180886919,5,50,50,150,90.0,250.0,340.0
34,power,lagged,RC,1,,1.2496497977788923,0.9096012856736466,-0.09039871432635337,-1.0,0.6755927822556241,1.0,0.7442013453359843,0.5196141780975573,0.538,0.1600201895870138,4,50,50,150,87.5,200.0,287.5
34,power,lagged,RC,2,,1.9109827292401418,1.2346922005456036,-0.16530779945439647,-1.4,1.2118167453631585,1.4,1.2792949473027786,0.8082887214850891,0.56,0.14995561312450853,3,50,50,150,83.33333333333333,150.0,233.33333333333334
34,power,lagged,RC,3,,28.47131272057756,2.6267979378790005,0.8267979378790004,-1.8,3.93015802884144,1.8026311999999998,28.37986795192247,1.096963264872621,0.554,-0.0006000197895059615,2,50,50,150,75.0,100.0,175.0
34,power,lagged,RC,4,,6.96249755507963,2.183105847810687,-0.016894152189312985,-2.2,2.28031912485559,2.2083328,6.555458061436884,1.3856378082601528,0.554,0.03690208283391734,1,50,50,100,50.0,50.0,100.0
35,power,lagged,RC,0,,0.7055738109246612,0.5342971143455943,-0.06570288565440559,-0.6,0.3559488627932416,0.6,0.4265809551235834,0.2309396347100255,0.56,0.18340835260587132,5,50,50,150,90.0,250.0,340.0
35,power,lagged,RC,1,,1.22730039036477,0.8473044633565967,-0.15269553664340338,-1.0,0.7484532677342819,1.0,0.8072679216874667,0.5196141780975573,0.582,0.2369270662106749,4,50,50,150,87.5,200.0,287.5
35,power,lagged,RC,2,,1.7611385132694763,1.1668817410218508,-0.23311825897814925,-1.4,1.1247619259025956,1.4,1.1553854234855996,0.8082887214850891,0.582,0.23642692947751062,3,50,50,150,83.33333333333333,150.0,233.33333333333334
35,power,lagged,RC,3,,2.278160033322397,1.5221719831972922,-0.2778280168027079,-1.8,1.3593937298874355,1.8026311999999998,1.4766133798179049,1.096963264872621,0.572,0.2385216031793116,2,50,50,150,75.0,100.0,175.0
35,power,lagged,RC,4,,2.7013314226279768,1.8985398213535454,-0.3014601786464545,-2.2,1.4781822186013445,2.2083328,1.560346703812178,1.3856378082601528,0.568,0.2406097601672847,1,50,50,100,50.0,50.0,100.0
36,power,lagged,RC,0,,0.6674535296199974,0.5680968806346531,-0.03190311936534672,-0.6,0.24236119602997785,0.6,0.27079502658624066,0.2309396347100255,0.562,0.12032644226099246,5,50,50,150,90.0,250.0,340.0
36,power,lagged,RC,1,,1.3812179401699318,0.94588593983689,-0.054114060163109996,-1.0,0.7596258738614515,1.0,0.8856819701023597,0.5196141780975573,0.53,0.07480035510109648,4,50,50,150,87.5,200.0,287.5
36,power,lagged,RC,2,,1.8941146145309207,1.3209032890543226,-0.07909671094567741,-1.4,1.0951961813285302,1.4,1.147060999152084,0.8082887214850891,0.53,0.0935229280008029,3,50,50,150,83.33333333333333,150.0,233.33333333333334
36,power,lagged,RC,3,,2.567799075101172,1.663281313432971,-0.1367186865670291,-1.8,1.5140322186532422,1.8026311999999998,1.6857500213058394,1.096963264872621,0.536,0.09960205753056818,2,50,50,150,75.0,100.0,175.0
36,power,lagged,RC,4,,2.9906443899997908,2.0846103325210037,-0.11538966747899645,-2.2,1.6631484746970828,2.2083328,1.7285714760080613,1.3856378082601528,0.54,0.09072608285827596,1,50,50,100,50.0,50.0,100.0
37,power,lagged,RC,0,,0.6468593152814215,0.5586814864206855,-0.041318513579314556,-0.6,0.2077194470636414,0.6,0.2552255639989926,0.2309396347100255,0.586,0.18575442241486914,5,50,50,150,90.0,250.0,340.0
37,power,lagged,RC,1,,1.3388583258363214,0.8600210993837147,-0.13997890061628526,-1.0,0.8806848582540692,1.0,0.9335891981196033,0.5196141780975573,0.58,0.1732557119916379,4,50,50,150,87.5,200.0,287.5
37,power,lagged,RC,2,,1.7126463927005806,1.208014306132809,-0.19198569386719108,-1.4,0.9579219785454535,1.4,1.026041894941844,0.8082887214850891,0.58,0.22809166532535402,3,50,50,150,83.33333333333333,150.0,233.33333333333334
37,power,lagged,RC,3,,2.3059350307866278,1.5551245729201408,-0.24487542707985932,-1.8,1.382577113405128,1.8026311999999998,1.424479171641512,1.096963264872621,0.566,0.19940984541424056,2,50,50,150,75.0,100.0,175.0
37,power,lagged,RC,4,,2.7590318777434244,1.9200289816860108,-0.2799710183139893,-2.2,1.475406375234029,2.2083328,1.5974189375575525,1.3856378082601528,0.566,0.21081781403206915,1,50,50,100,50.0,50.0,100.0
38,power,lagged,RC,0,,0.677236083458981,0.5639189654233289,-0.03608103457667121,-0.6,0.250803486754324,0.6,0.29561660777689835,0.2309396347100255,0.536,0.11327231916312379,5,50,50,150,90.0,250.0,340.0
38,power,lagged,RC,1,,1.256030855813464,0.8784689666312345,-0.1215310333687655,-1.0,0.691437647631693,1.0,0.8065301999068661,0.5196141780975573,0.57,0.19454761957847305,4,50,50,150,87.5,200.0,287.5
38,power,lagged,RC,2,,2.0063073853985576,1.1620425803627195,-0.23795741963728045,-1.4,1.3809760123860435,1.4,1.505075960894891,0.8082887214850891,0.576,0.1846993321756891,3,50,50,150,83.33333333333333,150.0,233.33333333333334
38,power,lagged,RC,3,,3.875330331621368,1.6268447112964335,-0.1731552887035668,-1.8,2.262780833247891,1.8026311999999998,3.414105820459739,1.096963264872621,0.576,0.07710643279136838,2,50,50,150,75.0,100.0,175.0
38,power,lagged,RC,4,,2.89508402938571,1.9387286887043633,-0.26127131129563674,-2.2,1.7674495959421035,2.2083328,1.8071397031336263,1.3856378082601528,0.576,0.18036111050687834,1,50,50,100,50.0,50.0,100.0
39,power,lagged,RC,0,,0.7301287480393727,0.5743971351209097,-0.025602864879090227,-0.6,0.3888181523786573,0.6,0.4047820816321622,0.2309396347100255,0.522,0.08580578515970659,5,50,50,150,90.0,250.0,340.0
39,power,lagged,RC,1,,1.3481423633409315,0.9464572270213383,-0.0535427729786617,-1.0,0.7725211320990071,1.0,0.8389618482282746,0.5196141780975573,0.522,0.08403915138556112,4,50,50,150,87.5,200.0,287.5
39,power,lagged,RC,2,,1.8975736146000957,1.336365740076958,-0.06363425992304186,-1.4,1.0298067552841947,1.4,1.144557951621114,0.8082887214850891,0.522,0.088123287247771,3,50,50,150,83.33333333333333,150.0,233.33333333333334
39,power,lagged,RC,3,,2.4162190132848913,1.6984758791324188,-0.10152412086758127,-1.8,1.2556838294715447,1.8026311999999998,1.401937249355681,1.096963264872621,0.528,0.09803691783500534,2,50,50,150,75.0,100.0,175.0
39,power,lagged,RC,4,,2.873914811851109,2.0652625682590835,-0.13473743174091704,-2.2,1.2999037997924028,2.2083328,1.5277623019717428,1.3856378082601528,0.524,0.10693376484127358,1,50,50,100,50.0,50.0,100.0
40,power,lagged,RC,0,,0.6929832393259595,0.5527248008008878,-0.04727519919911228,-0.6,0.32045581113296406,0.6,0.37560080102569754,0.2309396347100255,0.588,0.15699194749932183,5,50,50,150,90.0,250.0,340.0
40,power,lagged,RC,1,,1.2304513456637927,0.8156151513737127,-0.1843848486262873,-1.0,0.7661507779969582,1.0,0.8763078350092587,0.5196141780975573,0.586,0.2764154030887535,4,50,50,150,87.5,200.0,287.5
40,power,lagged,RC,2,,1.7876625173388692,1.13399057453343,-0.26600942546656997,-1.4,1.2330898751084105,1.4,1.2503882959870376,0.8082887214850891,0.588,0.2544834756206258,3,50,50,150,83.33333333333333,150.0,233.33333333333334
40,power,lagged,RC,3,,2.186024914895418,1.522219752659416,-0.277780247340584,-1.8,1.2738059046391401,1.8026311999999998,1.3267694825339011,1.096963264872621,0.594,0.26284770482243636,2,50,50,150,75.0,100.0,175.0
40,power,lagged,RC,4,,2.7120907425091407,1.804645299136009,-0.39535470086399144,-2.2,1.6562162216030767,2.2083328,1.7347662734095721,1.3856378082601528,0.586,0.2778051841803306,1,50,50,100,50.0,50.0,100.0
41,power,lagged,RC,0,,0.6620666507791345,0.57150035822066,-0.028499641779339967,-0.6,0.22604444395968698,0.6,0.24755530558152591,0.2309396347100255,0.548,0.11577749267927197,5,50,50,150,90.0,250.0,340.0
41,power,lagged,RC,1,,1.3497622310492785,0.9017723371087575,-0.09822766289124246,-1.0,0.7730043142238303,1.0,0.8803361692590316,0.5196141780975573,0.546,0.11659528796856532,4,50,50,150,87.5,200.0,287.5
41,power,lagged,RC,2,,2.1189089080386228,1.2746616150408963,-0.12533838495910343,-1.4,1.4455061116949182,1.4,1.5084512697931876,0.8082887214850891,0.548,0.0847367341838022,3,50,50,150,83.33333333333333,150.0,233.33333333333334
41,power,lagged,RC,3,,2.4074937019224274,1.656171609882616,-0.14382839011738424,-1.8,1.3270586840241476,1.8026311999999998,1.4151999483588928,1.096963264872621,0.546,0.11185275870659667,2,50,50,150,75.0,100.0,175.0
41,power,lagged,RC,4,,3.0135368910042657,2.029865527035548,-0.17013447296445186,-2.2,1.7040814302365166,2.2083328,1.8057762019152117,1.3856378082601528,0.55,0.10267180392127659,1,50,50,100,50.0,50.0,100.0
42,power,lagged,RC,0,,0.6378288857398945,0.5539090936915002,-0.04609090630849976,-0.6,0.1784777620997449,0.6,0.22811450334786457,0.2309396347100255,0.586,0.20273934507916075,5,50,50,150,90.0,250.0,340.0
42,power,lagged,RC,1,,1.3385019555852675,0.8076021843768438,-0.1923978156231562,-1.0,0.8340127982964285,1.0,0.9878052307191874,0.5196141780975573,0.582,0.21655036519191678,4,50,50,150,87.5,200.0,287.5
42,power,lagged,RC,2,,2.0950682694988836,1.191355928626278,-0.20864407137372193,-1.4,1.443596477595282,1.4,1.5695775678343584,0.8082887214850891,0.582,0.1428165419025503,3,50,50,150,83.33333333333333,150.0,233.33333333333334
42,power,lagged,RC,3,,22.096435477791992,2.6491253990102037,0.8491253990102035,-1.8,4.658670660204741,1.8026311999999998,21.98656603565001,1.096963264872621,0.576,0.0034601577653029622,2,50,50,150,75.0,100.0,175.0
42,power,lagged,RC,4,,5.64447070729477,2.1374411577236883,-0.06255884227631188,-2.2,2.3010029493112896,2.2083328,5.174239339731765,1.3856378082601528,0.58,0.062308949421120724,1,50,50,100,50.0,50.0,100.0
43,power,lagged,RC,0,,0.6537842937299884,0.568529272487545,-0.031470727512454805,-0.6,0.19178936862450416,0.6,0.23796400691600636,0.2309396347100255,0.564,0.14099294377757307,5,50,50,150,90.0,250.0,340.0
43,power,lagged,RC,1,,1.421935254459208,0.8530286454041682,-0.14697135459583183,-1.0,0.9490400805741378,1.0,1.0596843568219994,0.5196141780975573,0.562,0.1628315413770547,4,50,50,150,87.5,200.0,287.5
