rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
1,Oracle,,3,2.9453048604649026,0.0499001996007984,1,static,power,500,0.1
1,DM,,3,1.154120488273144,0.041916167664670656,1,static,power,500,0.1
1,cDM,,3,0.37401916836501825,0.03792415169660679,1,static,power,500,0.1
1,SS,1.1749020803620565,3,0.726906146346406,0.3273453093812375,0,static,power,500,0.1
1,RV,0.8871552123127308,4,2.0862380271769245,0.09780439121756487,1,static,power,500,0.1
1,Oracle,,4,1.8707296266142333,0.059880239520958084,1,static,power,500,0.1
1,DM,,4,-0.5773161129799878,0.8642714570858283,0,static,power,500,0.1
1,cDM,,4,0.0039565953147910156,0.46107784431137727,0,static,power,500,0.1
1,SS,1.267047086095747,4,-0.27253932232855127,0.5728542914171657,0,static,power,500,0.1
1,RV,1.2750690752070102,5,1.1304558821204265,0.38323353293413176,0,static,power,500,0.1
1,Oracle,,5,5.494985854950943,0.003992015968063872,1,static,power,500,0.1
1,DM,,5,0.11653134301942475,0.4291417165668663,0,static,power,500,0.1
1,cDM,,5,0.24162349211373438,0.10179640718562874,0,static,power,500,0.1
1,SS,1.2921752720423678,5,1.710754534412454,0.2934131736526946,0,static,power,500,0.1
2,RV,0.915047548208748,1,0.9824434886362223,0.7365269461077845,0,static,power,500,0.1
2,Oracle,,1,0.1422888128087315,0.05389221556886228,1,static,power,500,0.1
2,DM,,1,0.3295241091502804,0.3193612774451098,0,static,power,500,0.1
2,cDM,,1,-0.1353863310592633,0.8203592814371258,0,static,power,500,0.1
2,SS,1.1428282579409805,1,0.15016377329377284,0.2894211576846307,0,static,power,500,0.1
2,RV,0.7993619898242351,2,-0.6209795870679986,0.780439121756487,0,static,power,500,0.1
2,Oracle,,2,0.2263218495092722,0.059880239520958084,1,static,power,500,0.1
2,DM,,2,-0.07118372268898204,0.5329341317365269,0,static,power,500,0.1
2,cDM,,2,-0.2550004946370761,0.9181636726546906,0,static,power,500,0.1
2,SS,1.2477217221041343,2,-1.394438870224872,0.936127744510978,0,static,power,500,0.1
2,RV,0.7866558523646194,3,1.5526644417680964,0.02594810379241517,1,static,power,500,0.1
2,Oracle,,3,1.2198051716906055,0.4530938123752495,0,static,power,500,0.1
2,DM,,3,-0.8383778925443681,0.8982035928143712,0,static,power,500,0.1
2,cDM,,3,-0.09651239846408351,0.6806387225548902,0,static,power,500,0.1
2,SS,1.2827266235901194,3,0.5580179812045558,0.14770459081836326,0,static,power,500,0.1
2,RV,1.2370089868196652,4,1.1079550584659263,0.5289421157684631,0,static,power,500,0.1
2,Oracle,,4,5.822262701781099,0.00998003992015968,1,static,power,500,0.1
2,DM,,4,-1.0669970269440614,0.9660678642714571,0,static,power,500,0.1
2,cDM,,4,0.3206769355182382,0.09580838323353294,1,static,power,500,0.1
2,SS,1.3460028807200917,4,0.4396124862074415,0.44510978043912175,0,static,power,500,0.1
2,RV,1.2009990695762598,5,5.592602377850876,0.1437125748502994,0,static,power,500,0.1
2,Oracle,,5,4.744556809563134,0.001996007984031936,1,static,power,500,0.1
2,DM,,5,-0.3674949324412972,0.688622754491018,0,static,power,500,0.1
2,cDM,,5,-0.009764231074350352,0.5209580838323353,0,static,power,500,0.1
2,SS,1.5341519441516622,5,4.013817767730514,0.0658682634730539,1,static,power,500,0.1
3,RV,0.46340265915962753,1,2.3773344726152414,0.001996007984031936,1,static,power,500,0.1
3,Oracle,,1,0.9929982011154074,0.007984031936127744,1,static,power,500,0.1
3,DM,,1,-0.06804519879924978,0.5728542914171657,0,static,power,500,0.1
3,cDM,,1,0.03518910131649724,0.4590818363273453,0,static,power,500,0.1
3,SS,1.2280674698322507,1,0.09404876343621218,0.7245508982035929,0,static,power,500,0.1
3,RV,0.4893282379948391,2,0.13599698776476002,0.5748502994011976,0,static,power,500,0.1
3,Oracle,,2,0.6038396360438434,0.5489021956087824,0,static,power,500,0.1
3,DM,,2,0.89814109001574,0.05788423153692615,1,static,power,500,0.1
3,cDM,,2,-0.13030997169123268,0.7864271457085829,0,static,power,500,0.1
3,SS,0.5445981479921371,2,0.5494848085397066,0.08183632734530938,1,static,power,500,0.1
3,RV,0.9177183288009436,3,1.9169250468159895,0.07984031936127745,1,static,power,500,0.1
3,Oracle,,3,6.280697382966759,0.00998003992015968,1,static,power,500,0.1
3,DM,,3,0.8444796111872588,0.06187624750499002,1,static,power,500,0.1
3,cDM,,3,0.1866749504585732,0.1536926147704591,0,static,power,500,0.1
3,SS,0.9085970188321199,3,0.12515578453628165,0.49700598802395207,0,static,power,500,0.1
3,RV,1.4321642688867713,4,5.163168074374121,0.35528942115768464,0,static,power,500,0.1
3,Oracle,,4,8.42732926498499,0.10778443113772455,0,static,power,500,0.1
3,DM,,4,0.5967801983704086,0.1377245508982036,0,static,power,500,0.1
3,cDM,,4,0.05507147002810919,0.37325349301397204,0,static,power,500,0.1
3,SS,1.724415557568911,4,-2.358229470901822,0.9520958083832335,0,static,power,500,0.1
3,RV,0.9643451212153444,5,8.358692305178138,0.013972055888223553,1,static,power,500,0.1
3,Oracle,,5,8.965366859206016,0.015968063872255488,1,static,power,500,0.1
3,DM,,5,0.436673688626789,0.26746506986027946,0,static,power,500,0.1
3,cDM,,5,0.2367698662409499,0.1497005988023952,0,static,power,500,0.1
3,SS,1.0983923673048546,5,-0.5984946960242259,0.5848303393213573,0,static,power,500,0.1
4,RV,1.1898239999889597,1,3.838112473124285,0.7504990019960079,0,static,power,500,0.1
4,Oracle,,1,0.24585905124721927,0.07385229540918163,1,static,power,500,0.1
4,DM,,1,-0.4878904859800968,0.8043912175648703,0,static,power,500,0.1
4,cDM,,1,-0.31722936027047954,0.936127744510978,0,static,power,500,0.1
4,SS,1.1123253046038086,1,0.5928736797290511,0.18562874251497005,0,static,power,500,0.1
4,RV,0.8888121615065966,2,2.562682837123298,0.6786427145708582,0,static,power,500,0.1
4,Oracle,,2,0.5291307224354916,0.01996007984031936,1,static,power,500,0.1
4,DM,,2,-0.06529856604958044,0.5688622754491018,0,static,power,500,0.1
4,cDM,,2,-0.10762492949289673,0.7045908183632734,0,static,power,500,0.1
4,SS,1.1969813699166456,2,-0.208360564833063,0.5229540918163673,0,static,power,500,0.1
4,RV,0.8908229422213135,3,6.164780748088683,0.04590818363273453,1,static,power,500,0.1
4,Oracle,,3,2.8644699366137956,0.005988023952095809,1,static,power,500,0.1
4,DM,,3,0.6513678941386111,0.16167664670658682,0,static,power,500,0.1
4,cDM,,3,0.2425658212411659,0.10978043912175649,0,static,power,500,0.1
4,SS,1.1263874022734108,3,1.5294886040668854,0.05788423153692615,1,static,power,500,0.1
4,RV,0.7956131827095513,4,10.103650186844199,0.029940119760479042,1,static,power,500,0.1
4,Oracle,,4,5.56068687031597,0.033932135728542916,1,static,power,500,0.1
4,DM,,4,-0.15543257480346323,0.6027944111776448,0,static,power,500,0.1
