rep,method,rmse,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
42,RC,0.9512083129247487,-1.4636387618939959,0.5668662674650699,0,lagged,power,500,0.1
42,Oracle,,19.360024980147315,0.001996007984031936,1,lagged,power,500,0.1
42,DM,,0.33080944132242485,0.06986027944111776,1,lagged,power,500,0.1
42,cDM,,0.02167667760977489,0.3393213572854291,0,lagged,power,500,0.1
42,SS,1.3981884975420864,-5.936131174034708,0.9760479041916168,0,lagged,power,500,0.1
43,RC,0.711129751340434,12.156229183907476,0.001996007984031936,1,lagged,power,500,0.1
43,Oracle,,19.49902157332146,0.001996007984031936,1,lagged,power,500,0.1
43,DM,,0.3826488554701497,0.04590818363273453,1,lagged,power,500,0.1
43,cDM,,0.03187869240772604,0.31137724550898205,0,lagged,power,500,0.1
43,SS,0.752313411406241,8.192685625608437,0.00998003992015968,1,lagged,power,500,0.1
44,RC,0.725976925024586,-3.6436491956781283,0.07984031936127745,1,lagged,power,500,0.1
44,Oracle,,12.728343854793982,0.001996007984031936,1,lagged,power,500,0.1
44,DM,,0.010651269620330266,0.44510978043912175,0,lagged,power,500,0.1
44,cDM,,-0.08072732225047773,0.9461077844311377,0,lagged,power,500,0.1
